,text,hoax
0,Senin 27 April 2020 Sumatera Barat Lockdown,1
1,Anjuran Berbelanja Ketika Menjalankan “Social Distancing”,0
2,Kesembuhan Harian Lampaui Penambahan Kasus Baru,0
3,[Top 5] Topik Teratas Periksa Fakta MAFINDO Periode 28 Maret-3 April 2020,1
4,Beradaptasi Kebiasaan Baru yang Aman COVID-19 dan Produktif,0
5,Lonjakan Kasus Dampak Abaikan Protokol Kesehatan,0
6,Awas Hati-hati Apa Yang Disemprotkan FPI Adalah Virus Corona,1
7,Infografis COVID-19 (12 September 2020),0
8,"Kandidat Vaksin COVID-19 di Indonesia: Cepat, Mandiri dan Sinergi",0
9,Infografis COVID-19 (18 Agustus 2020),0
10,Mendikbud: Pembukaan Sekolah Tatap Muka Harus Keputusan Bersama,0
11,"Pasien Sembuh COVID-19 Jadi 2.381, Konfirmasi Positif 12.776",0
12,Universitas Brawijaya Kembalikan Uang Kuliah Akibat Persebaran Virus Corona,1
13,Pesan Berantai Taman Raya Tahap V Zona Merah COVID-19,1
14,"Perpanjang PSBB Ketat, Elektabilitas Anies Makin Anjlok Gabener Andalan Kadrun Mangkin Ngawur Aja",1
15,44 Orang Tenaga Kesehatan Positif Covid di RS Tipe B Parepare,1
16,Kandidat Pilkada Harus Contohkan Protokol Kesehatan Yang Ketat,0
17,Senjata Biologis! Video Ini Bukti Tentara AS Sebar Corona di Bus Wuhan,1
18,"3,8 Juta Titik Terpantau Aplikasi Monitoring Perubahan Perilaku",0
19,Pelarangan Masker Scuba Politik Perusahaan,1
20,Testing Bagi Pelaku Perjalanan Potensial Tekan Penularan Covid-19,0
21,MUI Ajak Umat Muslim Petik Hikmah dari Pandemi COVID-19 Sebagai Rahmat,0
22,"Kasus Terkonfirmasi Positif COVID-19 Naik 703, Pasien Sembuh 551 dan Meninggal 49",0
23,Infografis COVID-19 (25 Mei 2020),0
24,Kemenkes Kembangkan Laboratorium Uji Spesimen COVID-19,0
25,Per 8 Desember 2020 Pasien Sembuh Mencapai 483.497 Orang,0
26,Pegiat: Berkebun Di Ruang Terbatas di Rumah Selama COVID-19,0
27,Infografis COVID-19 (16 September 2020),0
28,Kerja Diplomasi Indonesia Kawal Vaksin COVID-19,0
29,Pemerintah Dukung Pejuang Ekonomi Garis Depan Wirausahawan Usaha Mikro,0
30,Mensos: Dana Stimulus Rp 405 T untuk Penanganan COVID-19 Tanda Bahwa Negara Hadir,0
31,Langkah Pemerintah dalam Mitigasi COVID-19 di Sektor Ketenagakerjaan,0
