,text,hoax
0,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
1,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
2,Jokowi Menggunakan Vaksin Buatan Eropa,1
3,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
4,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
5,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
6,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
7,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
8,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
9,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
10,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
11,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
12,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
13,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
14,Jokowi Menggunakan Vaksin Buatan Eropa,1
15,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
16,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
17,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
18,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
19,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
20,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
21,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
22,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
23,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
24,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
25,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
26,Jokowi Menggunakan Vaksin Buatan Eropa,1
27,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
28,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
29,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
30,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
31,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
32,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
33,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
34,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
35,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
36,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
37,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
38,Jokowi Menggunakan Vaksin Buatan Eropa,1
39,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
40,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
41,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
42,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
43,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
44,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
45,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
46,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
47,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
48,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
49,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
50,Jokowi Menggunakan Vaksin Buatan Eropa,1
51,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
52,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
53,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
54,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
55,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
56,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
57,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
58,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
59,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
60,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
61,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
62,Jokowi Menggunakan Vaksin Buatan Eropa,1
63,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
64,“Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram”,1
65,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
66,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
67,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
68,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
69,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
70,“Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya”,1
71,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
