,text,hoax
0,Pelarangan WNA Masuk Ke Indonesia Diperpanjang,0
1,Pasien Sembuh Terus Meningkat Menjadi 711.205 Orang,0
2,Jokowi Menggunakan Vaksin Buatan Eropa,1
3,Kriteria Penetapan Emergency Use Authorization (EUA) untuk Vaksin COVID-19,0
4,Rakyat Aceh menolak vaksin covid19 karena menurut para ulama Aceh itu haram,1
5,Kesembuhan COVID-19 Bertambah Menjadi 703.464 Orang,0
6,Analisis Data COVID-19 Indonesia (Update Per 10 Januari 2021),0
7,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 10 Januari 2021),0
8,Persetujuan Penggunaan Obat dalam Kondisi Darurat,0
9,Fatwa Majelis Ulama Indonesia Nomor : 02 Tahun 2021,0
10,Kemasan vaksin Sinovac ga pake ampulan Didalam box vaksin sudah ada spuit khusus yg sdh ada vaksin nya,1
11,"Disiplin 3M, Hal Sederhana Yang Dapat Menyelamatkan Nyawa",0
12,Satgas Tegaskan Sosialisasi Vaksinasi Terus Dilakukan Secara Masif,0
13,"Zona Merah Meningkat, Satgas Minta Daerah Untuk Evaluasi Kebijakan Penanganan",0
14,Satgas: Optimalkan Masa PPKM Untuk Tekan Laju Kasus,0
15,Antisipasi Keterisian Tempat Tidur Dengan Mencegah Penularan,0
16,Satgas Covid-19: Kebijakan PPKM Upaya Menjamin Keselamatan Masyarakat,0
17,"Vaksin Sinovac Teruji Minim Efek Samping, Berkhasiat dan Halal",0
18,Jumlah Pasien Sembuh Meningkat Menjadi 695.807 Orang,0
19,21% Pasien Mengalami Efek Samping Setelah Memakai Vaksin Moderna,1
20,15 Juta Bahan Baku Vaksin Sinovac Tiba di Indonesia,0
21,15 Juta Dosis Vaksin COVID-19 Asal Sinovac Tahap Ketiga Tiba di Indonesia,0
22,Video vaksin AstraZeneca menggunakan MRC-5,1
23,Pasien Sembuh COVID-19 Sudah Mencapai 681.024 Orang,0
24,sakit mendadak oleh vaksin,1
25,Vaksin COVID-19 Gratis dan Tanpa Syarat,0
26,Penerima Vaksin Perdana Meninggal Dunia Usai Disuntik Vaksin Pfizer,1
27,Ternyata VAKSIN Yg Akan Di Suntikan Ke Jokowi Berbeda,1
28,"Cara Ampuh Lawan COVID-19: 3M, 3T, Vaksin",0
29,Aturan Perjalanan Diperpanjang dan Diperketat,0
30,Vaksin COVID-19 Produksi Sinovac Suci dan Halal,0
31,Awas Hoaks: Vaksin Sinovac memberi efek samping pembesaran alat kelamin,0
32,Pasien Sembuh COVID-19 Meningkat Menjadi 666.883 Orang,0
33,"VAKSINASI COVID-19 LINDUNGI DIRI, LINDUNGI NEGERI",0
34,Vaksinasi: Siap Divaksin Saat Vaksin Siap,0
35,vaksin Sinovac disebutkan memberi efek samping pembesaran alat kelamin,1
36,Terapi Plasma Konvalesen Dapat Diakses Melalui PMI,0
37,Satgas Tegaskan Kebijakan PPKM Bersifat Wajib,0
38,Pemerintah Ajak Masyarakat Tak Ragu Ikuti Vaksinasi,0
39,PPKM Bertujuan Agar Masyarakat Kembali Produktif dan Aman Covid-19,0
40,Satgas Bentuk Bidang Perlindungan Khusus Untuk Keselamatan Tenaga Medis Dan Kesehatan,0
41,Pembelajaran Tatap Muka Harus Utamakan Keselamatan Siswa-Siswi,0
42,Kebijakan Pembatasan Kegiatan Upaya Kendalikan Covid-19 di Pulau Jawa – Bali,0
43,Lonjakan Kasus Dampak Abaikan Protokol Kesehatan,0
44,Sebanyak 659.437 Pasien Sembuh Dari COVID-19,0
45,Pemerintah Pastikan Data Penerima Vaksin COVID-19 Aman,0
46,"Fabiana Souza, penerima perdana suntikan vaksin covid 19 meninggal dunia di RS.Sao Lucas Porto Alegre Brazil Selatan",1
47,Alur Registrasi dan Verifikasi Sasaran Penerima Vaksinasi COVID-19,0
48,Angka Kesembuhan COVID-19 Terus Meningkat Mencapai 652.513 Orang,0
49,Monitoring Kepatuhan Protokol Kesehatan di 34 Provinsi Indonesia (Update Per 3 Januari 2021),0
50,Satgas Ajak Masyarakat Bijak Pilah Informasi Dukung Suksesnya Vaksinasi,0
51,Distribusi Vaksin Covid-19 Untuk Menjamin Ketersediaan Yang Merata,0
52,Analisis Data COVID-19 Indonesia (Update Per 3 Januari 2021),0
53,"Vaksin Bermasalah dan Mengerikan, Disuntik Bisa Menjadi Sakit dan Sekarat",1
54,Vaksin Sinovac Covid-19 yang akan di suntikkan kepada warga hanya untuk kelinci percobaan,1
55,"Tingkat Risiko Daerah Menurun, Satgas: Jangan Lengah",0
56,Satgas Peringatkan Potensi Kenaikan Keterisian Tempat Tidur RS,0
57,Vaksin Sinovac Mengandung Sel Kera Hijau Afrika,1
58,Kesembuhan COVID-19 di Jawa Tengah Meningkat,0
59,Artikel CNN Seorang Dokter Merekomendasikan Vaksin Covid19 Disuntikkan di Alat Kelamin Pria,1
60,Hoaks: WHO menyatakan bahwa vaksin Sinovac adalah vaksin yang paling lemah,0
61,Pemerintah Telah Siapkan Langkah Antisipasi Lonjakan Kasus ,0
62,Donor Plasma Konvalesen Tingkatkan Angka Kesembuhan Pasien Covid-19,0
63,Vaksinasi Upaya Perlindungan Bagi Tenaga Kesehatan,0
64,"Sebanyak 1,2 Juta Vaksin Coronavac Lulus Uji Sertifikasi Lot Release",0
65,Pengawasan Mutu Vaksin COVID-19 Menerapkan Standar Internasional,0
66,Disinformasi: Vaksin COVID-19 Buatan Sinovac hanya untuk Uji Klinik dan Mengandung Sel Vero,0
67,Pelaksanaan Vaksinasi COVID-19 di Indonesia Membutuhkan Waktu 15 Bulan,0
68,Vaksin COVID-19 Buatan Sinovac hanya untuk Uji Klinik dan Mengandung Sel Vero dan Bahan Berbahaya,0
69,Pelaksanaan Vaksinasi COVID-19 di Indonesia Butuh Waktu 15 Bulan,0
70,Indonesia Berupaya Amankan Ketersediaan Vaksin COVID-19,0
